Category.01,Category.02,Supplier,Kids friendly,Family Friendly,Action Adrenaline,Romantic/Honeymoon,Smoker Friendly,Serivce Onboard,Price Range,Stability,Mobility,Boat View,Water Act.,Longtail Boat,No. of PAX
Phi Phi,Private Boats,Sawanu,Highly recommended,Highly recommended,High,High,Allowed,High,<2000 THB,High,High,Panoramic,Multiple,Included,<30
James Bond,Luxury Trips,Tip Top,Recommended,Average,Moderate,Moderate,Conditional,Moderate,2000-3500 THB,Moderate,Moderate,Partial,Basic,Excluded,30-60
Krabi,Economy Trips,Andaman Surprise,Average,Not recommended,Low,Normal,,Low,>3500 THB,Low,Low,No View,None,None,>60
Similan,Family Trips,BB Sealion,Not recommended,,,Low,,,,,,,,Zodiac,
Raya & Coral,From Phuket,Nine Ocean,,,,,,,,,,,,,
Adventures,From Krabi,JB Andaman,,,,,,,,,,,,,
Night Show,,Seanrey,,,,,,,,,,,,,
,,Banana Beach & Ombre,,,,,,,,,,,,,
,,Green Beach,,,,,,,,,,,,,
,,Hype Yacht,,,,,,,,,,,,,
,,Royal Speedy,,,,,,,,,,,,,
,,Raya Princess Tour,,,,,,,,,,,,,
,,Island Spirit,,,,,,,,,,,,,
,,Say Yes,,,,,,,,,,,,,
,,Indigo Catamarans,,,,,,,,,,,,,
,,Siam Adventure World,,,,,,,,,,,,,
,,OMBRE Yacht Phuket,,,,,,,,,,,,,
,,Bunglow Raya,,,,,,,,,,,,,
,,Queen of Andaman,,,,,,,,,,,,,
,,Great Andaman,,,,,,,,,,,,,
,,Happy Day,,,,,,,,,,,,,
,,Glory Rafting,,,,,,,,,,,,,
,,Phuket Jetski Club,,,,,,,,,,,,,
,,FXT Sevenplus,,,,,,,,,,,,,
,,Jet Ski Adventure,,,,,,,,,,,,,
,,Jet Ski Club,,,,,,,,,,,,,
,,KB Jet Ski,,,,,,,,,,,,,
,,Jet Ski Rassada,,,,,,,,,,,,,
,,Once Yachting,,,,,,,,,,,,,
,,Aquathrill,,,,,,,,,,,,,
,,DDay Marine,,,,,,,,,,,,,
,,2 Sisters Tour,,,,,,,,,,,,,
,,Elephant Camp Kalim,,,,,,,,,,,,,
,,Best Travel Club BTC,,,,,,,,,,,,,
,,Lucky Elephant Bath,,,,,,,,,,,,,
,,Siray Elephant,,,,,,,,,,,,,
,,Sun Wind Luxury,,,,,,,,,,,,,
,,QT,,,,,,,,,,,,,
,,Seastar,,,,,,,,,,,,,
,,Andamanda,,,,,,,,,,,,,
,,Aek Unseen,,,,,,,,,,,,,
,,Fantasy SeaTrip,,,,,,,,,,,,,
,,Kapong Tubing,,,,,,,,,,,,,
,,Nureena Phuket,,,,,,,,,,,,,
,,Discover Catamaran,,,,,,,,,,,,,
,,Chummy City Tour,,,,,,,,,,,,,
,,Kerchor Elephant Sanctuary,,,,,,,,,,,,,
,,PVY Speedy,,,,,,,,,,,,,
,,PP Relax,,,,,,,,,,,,,
,,Smile Rainbow,,,,,,,,,,,,,
,,SeeSea Andaman,,,,,,,,,,,,,
,,Nikorn Marine,,,,,,,,,,,,,
,,Le Rafting,,,,,,,,,,,,,
,,Kul Transport,,,,,,,,,,,,,
,,Prasert Seri Fishing,,,,,,,,,,,,,
,,Khao Lak Best Service,,,,,,,,,,,,,
,,Tara Luxury Longtail Boat,,,,,,,,,,,,,
,,Mulit Adventure Rafting,,,,,,,,,,,,,
,,Best Rafting 4U,,,,,,,,,,,,,
,,Andaman Wave Master,,,,,,,,,,,,,
,,Sand Smile,,,,,,,,,,,,,
,,ATV Seaview on Tour,,,,,,,,,,,,,
,,Sea Horse Marine,,,,,,,,,,,,,
,,Sea Angle,,,,,,,,,,,,,
,,City Tour Mr. Kul,,,,,,,,,,,,,
,,Krabi Voyage,,,,,,,,,,,,,
,,Phuket Paradise Zipline,,,,,,,,,,,,,
,,Hanuman World,,,,,,,,,,,,,
,,Love Andaman,,,,,,,,,,,,,
,,Yacht Master,,,,,,,,,,,,,
,,Sri Thara James Bond,,,,,,,,,,,,,
,,GR Rungtawan (Krabi),,,,,,,,,,,,,
,,RSA Group (Krabi),,,,,,,,,,,,,
,,Cattery Travel (Krabi),,,,,,,,,,,,,
,,Aonang Travel (Krabi),,,,,,,,,,,,,
,,Aonang Orchard (Krabi),,,,,,,,,,,,,
,,Nid 4 Bangkok,,,,,,,,,,,,,
,,Chao Phraya Cruise BKK,,,,,,,,,,,,,
,,Koh Samui Office,,,,,,,,,,,,,
,,Happy Koh Samui,,,,,,,,,,,,,
