S,Trip Name,Supplier,Destination,Motion Sickness,Weather Sensitivity,Children Eligibility,Action Adrenaline,"Romantic/
Honeymoon",Smoker Friendly,Price Range,Lunch,Stop/Act.,Duration,Time,Act. Type,Quality,Serivce Onboard,Stability,Mobility,Boat View,Water Act.,No. of PAX,Longtail Boat,Sell PRC Ad.,Net PRC Ad.,Sell PRC Ch.,Net PRC Ch.,Min. Markup,National Park,Short Description,WhatsApp Catalog Link,Video,Album,Note
1,رحلة بي بي قارب Speed Boat - إقتصادي الجودة,Green Beach,Phi Phi,Moderate,Extreme,12+,High,Low,Conditional,<2000 THB,Island,7,Full Day,Morning,Sea Trip,Economy,Low,Low,Low,No View,None,30-60,Excluded,1500,1200,,,,,"*08:40 - 09:40*: الانتقال من الفندق بواسطة حافلة صغيرة مكيفة.

* الوصول إلى الميناء، والاستمتاع بفطور خفيف مجاني مع الشاي والوجبات الخفيفة، وتقديم مقدمة مختصرة من المرشد.

* المغادرة إلى Phi Phi Island.

* الوصول إلى Phi Phi Leh، زيارة Maya Bay و Pileh Lagoon و Viking Caves.
    
* زيارة Monkey Beach ، ثم الانتقال إلى موقع الغطس للاستمتاع بالغوص مع الكائنات البحرية الجميلة.

* الوصول إلى Phi Phi Don ، والاستمتاع بغداء بوفيه والاسترخاء على الشاطئ.

* المغادرة من Phi Phi Don إلى Khai Island للاسترخاء على الشاطئ الرملي الأبيض والسباحة والغوص.

*18:00 - 18:30*: المغادرة من Khai Island العودة إلى الميناء (بوكيت) والانتقال إلى الفندق.

*ملاحظة : البرنامج قابل للتغيير حسب المد والجزر وظروف الطقس دون إشعار مسبق.*",https://wa.me/p/8473825862736811/66909277553,,1.Speed Boat - إقتصادي الجودة,
2,جزيرة بي بي قارب speed boat - جودة عادية,Nine Ocean,Phi Phi,Moderate,Extreme,12+,High,Low,Conditional,<2000 THB,Island,7,Full Day,Morning,Sea Trip,Economy,Low,Low,Low,No View,None,30-60,Excluded,1650,1100,,,,,"*07:30 - 08:00*: الاستقبال من الفندق والنقل إلى رصيف AA. استمتع بالقهوة والشاي والبسكويت المجاني. تسجيل الوصول والحصول على معلومات الرحلة من المرشد.

*09:30 - 09:45*: الانطلاق بالقارب السريع إلى خليج مايا.

مشاهدة المعالم في خليج لو ساماه.

السباحة في بحيرة بيله (القفز من القارب).

مشاهدة المعالم في كهف الفايكنج.

الوصول إلى شاطئ القرود لالتقاط الصور مع القرود.

الغطس فوق الشعاب المرجانية الجميلة في جزيرة بي بي دون.

الغداء: استمتع بغداء رائع في جزيرة بي بي دون (تتوفر خيارات نباتية عند الطلب).

بعد الظهر:

المغادرة من جزيرة بي بي دون إلى جزيرة كاي.

الاسترخاء على الشاطئ الرملي الأبيض؛ السباحة والغطس في جزيرة كاي.

المغادرة من جزيرة كاي إلى بوكيت رصيف (AA).

*16:30*: الوصول إلى الرصيف والنقل إلى الفندق.

ملاحظة: الرحلة غير موصى بها للنساء الحوامل أو الأشخاص الذين خضعوا لعمليات جراحية. قد يختلف البرنامج حسب حالة الطقس والبحر.
",https://wa.me/p/8404789509638247/66909277553,https://snapchat.com/t/22PpfpH1,2.speed boat - جودة عادية,
3,جزيرة بي بي بواسطة قارب كاتاماران سريع,Tip Top,Phi Phi,High,High,3+,Moderate,Normal,Conditional,2000-3500 THB,Island,8,Full Day,Morning,Sea Trip,Average,Moderate,Moderate,Low,Partial,Basic,30-60,Excluded,2300,1600,,,,,"مجموعة من الجزر تعد الاشهر على الاطلاق بمجرد ذکر جنوب تايلاند وترجع شهرتها كونها كانت موقع تصوير الفيلم الهوليودي The Beach وهي تابعة اداريا لاقليم كرابي التايلاندي وتنقسم لمجموعتين من الجزر الاولى Phi Phi lieh وتعد محمية طبيعية تحت سيطرة مباشرة من قوة حرس الحدود التايلاندي و الثانية هي Phi Phi Don ويسكنها حوالي 1200 شخص وينتشر بها الفنادق و مراكز الغطس وبصفة عامة تشتهر جزر Phi Phi بصفاء مياة البحر والشعاب المرجانية.

تنطلق فعاليات البرنامج من الفندق في حوالي الساعة 07.30 ص صوب الميناء في مسافة تستغرق حوالي 45 دقيقة البداية بالابحار لمحمية ""بي بي لى"" وهناك تكون زيارة شاطئ القردة والمرور ب Pleih Lagoon للسباحة وكهف Viking و عادة مايكون السنوركلينج هناك وزيارة خليج Maya Bay للتصوير و من هناك ينطلق القارب صوب Phi Phi Don و هناك يحين موعد الغداء في خليج Ton Sai والمكوث هناك لمدة ساعة بعدها الابحار نحو جزيرة Khai للاستمتاع بالشاطئ و السباحة لمدة ساعة ومن هناك تبدأ رحلة العودة للميناء على ان تكون في الفندق في حوالي السادسة والنصف مساءا حسب الحركة المرورية.",https://wa.me/p/8604754926270225/66909277553,,3.كاتاماران سريع,
4,رحلة 5 جزر + غروب جزيرة مايتون | Phi Phi • Bamboo • Khai • Maiton,Once Yachting,Phi Phi,High,High,3+,Moderate,Moderate,Conditional,2000-3500 THB,Island,8,Full Day,Morning,Sea Trip,High End,Moderate,Moderate,Low,Partial,Basic,30-60,Excluded,2900,1900,,,,,"✨ تجربة بحرية فاخرة على يخت حديث
🤿 3 مرات سنوركلينج
🌊 واحدة من أجمل رحلات الجزر في فوكيت
🕗 برنامج الرحلة
🚐 08:00 – الاستقبال من الفندق والتوجه إلى الميناء
☕ 09:00 – تسجيل الوصول في ميناء كوكو
  • إفطار خفيف
  • تعريف بالرحلة وتعليمات السلامة
🚤 10:00 – الانطلاق إلى جزيرة خاي نوك
🏖 10:20 – الاسترخاء على الشاطئ والأنشطة المائية
🏝 11:40 – زيارة جزيرة بامبو
  • سباحة
  • سنوركلينج
  • رمال بيضاء ناعمة
🍽 12:45 – بوفيه غداء تايلاندي في جزيرة بي بي دون
📸 13:30 – تصوير شاطئ القردة
🛶 14:30 – مشاهدة كهف الفايكينج
  • جولة في لاجون بي ليه
  • قارب خشبي تقليدي (اختياري)
🌊 15:30 – زيارة خليج مايا
  • موقع تصوير فيلم The Beach
  • منحدرات جيرية ومياه فيروزية
🐬 17:15 – الوصول إلى جزيرة مايتون
  • سنوركلينج
  • تجديف بقوارب شفافة
  • لوح تجديف
  • فرصة مشاهدة الدلافين 🐬
🌅 18:30 – العودة إلى ميناء كوكو
  • عشاء خفيف
💰 الأسعار – عرض ترويجي
👨‍👩‍👧 البالغين: 2,900 بات
🧒 الأطفال (4 – 11 سنة): 2,700 بات
📌 العرض متاح لفترة محدودة
✅ يشمل البرنامج
✔️ استقبال وتوصيل من الفندق
✔️ يخت فاخر + طاقم محترف
✔️ 3 مرات سنوركلينج
✔️ معدات سنوركلينج كاملة
✔️ سترات نجاة
✔️ وجبات (إفطار خفيف – غداء – عشاء)
✔️ مياه ومشروبات
✔️ رسوم المحميات الوطنية
✔️ تأمين سياحي
⚠️ ملاحظات مهمة
ℹ️ البرنامج قابل للتغيير حسب حالة الطقس
🚫 لا يُسمح للأطفال أقل من 4 سنوات
👙 يُنصح بارتداء ملابس سباحة واستخدام واقي الشمس
📅 في حال تغيير التاريخ، يرجى الإبلاغ قبل 14 يومًا",https://wa.me/p/25495589863467570/66909277553,,4.رحلة 5 جزر + غروب جزيرة مايتون ,
5,رحلة بي بي & Bamboo قارب Star Catamaran ـ عالي الجودة,Seastar,Phi Phi,High,High,3+,Moderate,Moderate,Conditional,2000-3500 THB,Island,7,Full Day,Morning,Sea Trip,High End,Moderate,Moderate,Low,Partial,Multiple,30-60,Excluded,2950,1800,,,,,"⚠️ برنامج بي بي بامبو "" يتحرك متأخر""

*09:00-08:45* : الانطلاق من الفندق

*10:00*: الوصول للميناء ، ليم نج بوكيت. استمتعوا بالوجبات الخفيفة ومجموعة متنوعة من المشروبات.

*10:30*: مغادرة الميناء إلى Phi Phi Island بواسطة الكاتاماران السريع.

*11:30* الوصول إلى Bamboo Island ذات الرمال البيضاء و المياه الصافية للسباحة والاسترخاء.

*13:00* تناول الغداء (حلال تايلاندي) في مطعم على شاطئ البحر في (Ton Sai Bay) Phi Phi Don Island واستمتعوا بوقت فراغ على الشاطئ.

*14:00*: الانتقال إلى Monkey Beach للغوص حول Monkey Bay ثم زيارة Viking Cave مشاهدة فقط 

*15:00*: التوجه إلى Loh Samaha للقيام برحلة إلى خليج Maya Bay ، حيث تم تصوير فيلم ""The ""Beach. الاسترخاء على الشاطئ ذو الرمال البيضاء والاستمتاع بالتجديف في Pileh Lagoon.

*17:00*: العودة إلى جزيرة بوكيت.

*18:00*: الوصول إلى الميناء والانتقال إلى الفندق.",https://wa.me/p/8616595661754073/66909277553,,5.Bamboo قارب Star Catamaran,
6,رحلة بي بي قارب Power Catamaran - جودة متوسطة,Sawanu,Phi Phi,High,High,3+,Moderate,Normal,Conditional,2000-3500 THB,Island,7,Full Day,Morning,Sea Trip,High End,Moderate,Moderate,Low,Partial,Basic,30-60,Excluded,3100,1900,,,,,"🌟 نقطة استقبال متميزة
🌟 يمكن مشاهدة الطبيعة من القارب عكس اغلب القوارب السريعة 
🌟 خدمة متميزة على القارب
*09:00* : تسجيل الوصول في ""Lounge""
*09:30*: المغادرة من الرصيف
*10:30* : الاستراحة على شاطئ ""مايا باي""
*11:30* : السباحة والقفز في ""بيليه لاجون""
*12:20* : مشاهدة ""كهف الفايكنج""
*12:30* : مشاهدة ""خليج القردة""
*12:45*: الغطس في ""جزيرة بي بي دون""
*13:30*: الغداء على ""جزيرة بي بي دون""
*15:20* : الاستراحة على شاطئ ""جزيرة كاي نوك""
*16:30* : الوصول إلى الرصيف",https://wa.me/p/8898261183527229/66909277553,,6.قارب Power Catamaran - جودة متوسطة,
7,رحلة بي بي قارب Mindy boat,Sawanu,Phi Phi,High,High,3+,Low,Low,Conditional,2000-3500 THB,Island,7,Full Day,Morning,Sea Trip,High End,Moderate,Moderate,Moderate,Panoramic,Basic,>60,Excluded,3150,2200,,,,,"برنامج بي بي ايلاند بأحدث قارب موجود في السوق، جودة البرنامج تعتبر عالية و بتوفر تجربة فريدة أكيد مش شرط عشان تستمتع تطلع بنفس الطريقة!! بس لو تهمك الجودة يبقى البرنامج ده مناسب جدا لك القارب به طابقين الطابق العلوي يمنحك اطلاله بانوراميه ويوجد في القارب حمام يسهل استخدامه عکس اغلب القوارب التي تستخدم حمام طوارئ

07.30 - الوصول إلى المرفأ

09.00 - تسجيل الوصول: مشروبات الترحيب وتقديم الجولة من قبل مرشدينا

09.30 - المغادرة من المرفأ

10.30 - خليج مايا: مشاهدة / الاسترخاء على الشاطئ. ""خليج مايا"" هو خليج جميل محاط بجدران من الحجر الجيري العملاقة، يمتد لأكثر من ۲۰۰ متر من الرمال البيضاء الحريرية ومحاط بمياه زمردية. هذا هو المكان الذي تم تصوير فيلم ""ذا بيتش"".

11.30 - بحيرة بيليه: السباحة والقفز. ""بحيرة بيليه"" هي مدخل خيالي مذهل على جزيرة فيفي. تغمرها مياه ترکواز ساحرة ومحاطة بجدران من الحجر الجيري الشاهقة.

12.30 - کهف الفايكنج: مشاهدة. مكان ممتاز لاكتشاف جنين الطيور السريعة.

12.30 - خليج القرد: مشاهدة. منطقة من الجداول المكسوة بالأشجار والتي تعد موطنًا للقرود النشيطة.

12.45 - جزيرة فيفي دون: الغوص. وجهة غوص رائعة ستأخذ أنفاسك. تزخر بشعاب مرجانية ملونة وحياة بحرية متنوعة.

13.30 - الغداء في جزيرة فيفي دون

15.20 - جزيرة كاي نوك: الاسترخاء على الشاطئ. ""جزيرة كاي"" هي جنة استوائية صغيرة معروفة بشواطئها الرملية البيضاء النقية ومياهها الصافية الكريستالية وحياتها البحرية النابضة بالحياة.

16.50 - العودة إلى بوكيت

17.10 - الوصول إلى المرفأ
",https://wa.me/p/26740481945542785/66909277553,https://www.instagram.com/reel/C4DnpZ0PPht/?igsh=MXVqN2owYXhsam5kZg==,7.Mindy boat,
8,رحلة بي بي - قارب Surprise Catamaran (عالي,Andaman Surprise,Phi Phi,High,High,3+,Moderate,High,Conditional,>3500 THB,Island,7,Full Day,Morning,Sea Trip,Premium,High,Moderate,Low,Wide,Basic,<30,Excluded,3900,2400,,,,,"⚠️ فقط ۳۰ فرد + جلسة مريحة + خدمة جيدة على القارب

*08:15 - 09:15 صباحاً* - الاستقبال من الفندق والنقل إلى المارينا .""Royal Phuket Marina"" الفاخرة

*09:20 صباحاً* . ترحيب دافئ من فريق ""Andaman Surprise"" والاستمتاع بوجبة إفطار خفيفة ومجموعة متنوعة من المشروبات في الصالة. تقديم برنامج الجولة وتوجيهات السلامة من قبل المرشدين السياحيين المعتمدين.

*10:30 صباحاً* . المغادرة إلى جزر بامبو للغطس. . الوصول إلى جزيرة بامبو الاستمتاع بالسباحة والغطس مع الشعب المرجانية والأسماك الملونة أو الاسترخاء على الشاطئ الرملي الأبيض.

* الغداء: وقت لتناول وجبة غداء لذيذة في مطعم على شاطئ جزيرة ""Phi Phi Don"" . ثم الاسترخاء على الشاطئ الرملي أو الاستمتاع بجولة سياحية حول الجزيرة.

* التوجه إلى شاطئ القرود: ""Monkey Beach"" مشاهدة فقط.

* الوصول إلى جزر ""Phi Phi Leh"" الاستمتاع بالسباحة والغطس في المياه الكريستالية الصافية ومشاهدة الأسماك الاستوائية.

* زيارة بحيرة ""Pileh Lagoon"" المحاطة بصخور الحجر الجيري العالية حيث يمكنكم السباحة والقفز في المياه الفيروزية بين المنحدرات والكهوف. ثم التوجه إلى كهف الفايكنغ لمشاهدة اللوحات الكهفية التاريخية القديمة من على القارب.

* التوجه إلى خليج ""Maya""، الشاطئ الأشهر الذي تم فيه تصوير فیلم ""The Beach"". (تأكد إنه متاح للزيارة)

*18:00 مساءً* الوصول إلى صالة ""Andaman Surprise"" والنقل إلى الفندق.

ملاحظة: الشركة لن تكون مسؤولة عن أي تغييرات تطرأ على البرنامج بسبب الطقس أو حالة البحر التي قد تعدل البرنامج. يتم إجراء التغييرات السلامة وراحة جميع الضيوف.",https://wa.me/p/9030562850307376/66909277553,,8.قارب Surprise Catamaran,
9,قارب Speedy | رحلة بي بي | عدد قليل عالي الجودة,PVY Speedy,Phi Phi,High,Extreme,12+,High,High,Conditional,>3500 THB,Island,7,Full Day,Morning,Sea Trip,Premium,High,Low,Low,Partial,None,<30,Excluded,4100,2900,,,,,"⚠️ سعر الطفل (4 إلى 12 عام) 3,700 بات

⚠️ القارب حد أقصى 22 فرد ،ويمكنك حجز أماكن محددة على القارب ( انظر خريطة الجلوس واختار) 

✅ برنامج الرحلة:

07:00 - 08:30 صباحاً:
النقل من الفندق والنقل إلى  ميناء Phet Phoom لتناول وجبة إفطار خفيفة.

09:00 صباحاً:
المغادرة من الرصيف إلى جزيرة Bamboo للاستمتاع بالسباحة والغوص والاسترخاء على الشاطئ.

الوجهة التالية: Monkey Bay
السباحة والغوص واستكشاف جمال البحر.

✅ الغداء:
الاستمتاع بغداء في مطعم على جزيرة Phi Phi Don.

✅ جولة سياحية:

زيارة إلى Viking Cave والتقاط صور رائعة.

اكتشاف Phi Phi Ley و Pi Leh Cove. السباحة في المياه الفيروزية المحاطة بالجبال الجيرية.

زيارة Maya Bay، موقع تصوير فيلم The Beach. يمكنك الاسترخاء والاستمتاع بالمناظر الطبيعية.


الوجهة النهائية: Maiton Island أو Khai Island
الاستمتاع بالغوص Snorkeling واكتشاف الحياة البحرية المدهشة.

05:00 مساءً:
العودة إلى مرسى Phet Phoom والنقل إلى الفندق.


---

✅ يشمل:

🔷الفريق المحترف:

كابتن وطاقم محترف

مرشد سياحي يتحدث الإنجليزية


✅ المعدات:

🔷قناع، أنبوب التنفس، وسترة نجاة

🔷فم واحد للاستخدام الشخصي Mouth piece 


✅ الرسوم والنقل:

🔷رسوم الحديقة الوطنية

🔷النقل ذهاباً وإياباً من الفنادق في مدينة فوكيت، خليج سيراي، شاطئ كاتا، شاطئ كارون، شاطئ باتونج، تري ترانغ، وكاليم (المواقع الأخرى قد تتطلب رسوم إضافية)


✅ الوجبات والمشروبات:

🔷وجبة إفطار خفيفة

🔷غداء بوفيه

🔷مشروبات غازية، مياه شرب، وجبات خفيفة، وفواكه موسمية على متن القارب

🔷جوز الهند الطازج


✅ المرافق:

🔷حصيرة أو بساطة شاطئي

🔷حقيبة إسعافات أولية


✅ التأمين:

تأمين الحوادث أثناء السفر




---

✅ سياسة الإلغاء:


🔷استرداد كامل:
سيتم رد كامل المبلغ إذا تم الإلغاء قبل 5 أيام على الأقل من تاريخ الرحلة.

🔷استرداد 50%:
سيتم رد 50% إذا تم الإلغاء في غضون 3 أيام قبل تاريخ الرحلة.

🔷لا يوجد استرداد في حالة تأجيل الرحلة:
إذا طلب العميل تأجيل الرحلة أقل من يومين قبل تاريخ الرحلة، يحق للشركة عدم رد المبلغ.

🔷لا يوجد استرداد في يوم الرحلة:
في حالة الإلغاء في يوم الرحلة، لا يتم رد المبلغ.

🔷استثناء المرض:
إذا كان العميل مريضاً وقدم شهادة طبية من المستشفى، سيتم رد 100% من المبلغ.

🔷حجوزات موسم الذروة:
في حالة الحجز خلال موسم الذروة، لا يتم رد المبلغ في حال حدوث أي إلغاء.

🔷عدم الحضور:
في حالة عدم حضور العميل، سيتم الاحتفاظ بـ 100% من رسوم الرحلة.


✅ سياسة الإلغاء بسبب الطقس السيء:

🔷الطقس السيء (تحذير رسمي):
في حالة إعلان دائرة الأرصاد الجوية عن طقس سيء، سيتم رد كامل المبلغ (100%) من الدفعة عن طريق نفس طريقة الدفع التي تم استلام المبلغ من خلالها.

🔷المطر العام:
في حالة هطول الأمطار العامة (دون الأمطار المتناثرة أو المتفرقة)، يمكن إعادة جدولة الرحلة أو تأجيلها حسب التوافر.",https://wa.me/p/8950990398271152/66909277553,,9.Speedy,
10,قارب Seanery رحلة بي بي و جزيرة Bamboo - عالي الجودة,Seanrey,Phi Phi,High,High,3+,Moderate,High,Conditional,>3500 THB,Island,7,Full Day,Morning,Sea Trip,Premium,High,Moderate,Low,Partial,Basic,30-60,Included,4150,2950,,,,,"⚠️ سعر الطفل ٤ - ١١ سنة 3500 بات/الطفل

🌟 الجدول الزمني:

✅ *10:30* - *الوصول إلى الرصيف - مشروب ترحيبي ووجبة خفيفة*

الترحيب بالضيوف في ميناء القوارب، ابدأ يومك بمشروب ترحيبي ووجبة خفيفة.

✅ *11:00* - *الاستمتاع برحلة مريحة*
اركب قارب ""سيانيري"" السريع متجهًا إلى جزيرة بامبو.

✅ *12:00* - جزيرة Bamboo 
الوصول إلى جزيرة بامبو. الشاطئ ذو الرمال البيضاء والمياه الزرقاء الصافية مثالي للغطس وحمامات الشمس.

✅ *13:00* - استمتع ببوفيه غداء لذيذ (حلال)
الوصول إلى جزيرة في في دون استمتع ببوفيه غداء على الشاطئ في مطعم ""تشاوكوه"". وقت حر على الشاطئ أو استكشاف الجزيرة.

✅ *14:00* - زيارة Plieh lagoon 
جولة سياحية على قارب ذي ذيل طويل Long tail boat في Plieh lagoon ذات المياه الزمردية المحاطة بمنحدرات وكهوف الحجر الجيري الشاهقة.

✅ *15:00* - *مغامرة غطس Snorkeling* الوصول إلى كهف الفايكنغ، وهو نقطة شهيرة للغطس في المياه
الزرقاء الصافية ومشاهدة مجموعة متنوعة من الأسماك الاستوائية والشعاب المرجانية الزاهية.

✅ *16:15* - استكشاف خليج مايا (يتم اغلاقه أحيانا)
زيارة خليج مايا الشهير عالمياً والذي ظهر في فيلم ""الشاطئ"".
الاسترخاء على الشاطئ ذو الرمال البيضاء والطبيعة الخلابة.

✅ *18:00* - *رحلة بحرية رومانسية عند غروب الشمس - جزيرة مايتون*
استمتع بغروب الشمس الخلاب عند جزيرة مايتون. يتم تقديم دجاج مشوي وفواكه موسمية على متن القارب.

✅ *18:30 - 18:45* - *العودة إلى الرصيف*


⚠️ ملاحظات:

. البرنامج قابل للتغيير حسب الأحوال الجوية وظروف البحر.
. غير مسموح للنساء الحوامل بالسفر.
. الرحلة غير موصى بها للأطفال تحت سن 4 سنوات أو للأشخاص الذين يعانون من أي إعاقة جسدية أو طبية.
• يجب على المسافرين الذين تزيد أعمارهم عن 60 عامًا أو الذين يعانون من مشاكل في العمود الفقري أو أمراض القلب أو أي مشاكل صحية خطيرة تجنب الرحلة.

🌟 تذكرة الرحلة تشمل:

. منشفة منعشة
. قارب ذي ذيل طويل
. تأمين سفر
. مشروب ترحيبي ومشروبات غازية ووجبة خفيفة
. معدات الغطس
. بوفيه غداء
. خدمة نقل ذهاب وعودة من الفندق
. سترة نجاة
. قارب تجديف
. قائد، دلیل، طاقم
. رسوم حديقة وطنية
. فواكه موسمية
. منشفة على متن القارب
",https://wa.me/p/8583869158392940/66909277553,https://www.instagram.com/reel/DEkjMLxTewr/?igsh=YzljYTk1ODg3Zg==,10.Seanery رحلة بي بي,
